sl_no,district,tfc_number,centre_name,address,full_address,search_query,google_maps_url,latitude,longitude,geocode_provider,geocode_address,geocode_status
88,Thiruvarur,99,"Government Polytechnic College, Korukkai -",614711,"Government Polytechnic College, Korukkai - 614711","Government Polytechnic College, Korukkai - 614711, Thiruvarur, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Korukkai+-+614711%2C+Thiruvarur%2C+Tamil+Nadu%2C+India,10.5146431,79.694747,arcgis,"614711, Tirutturaipundi, Tamil Nadu",resolved
89,Thoothukudi,50,Government Polytechnic College,"Palayamkottai Road, Thoothukudi -628008","Government Polytechnic College, Palayamkottai Road, Thoothukudi -628008","Government Polytechnic College, Palayamkottai Road, Thoothukudi -628008, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Palayamkottai+Road%2C+Thoothukudi+-628008%2C+Tamil+Nadu%2C+India,8.791001,78.120101,arcgis,Government Polytechnic College,resolved
90,Thoothukudi,103,Bharathiyar Centenary Memorial Women’s,"Polytechnic College, Ettayapuram - 628902.","Bharathiyar Centenary Memorial Women’s Polytechnic College, Ettayapuram - 628902.","Bharathiyar Centenary Memorial Women’s Polytechnic College, Ettayapuram - 628902., Thoothukudi, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Bharathiyar+Centenary+Memorial+Women%E2%80%99s+Polytechnic+College%2C+Ettayapuram+-+628902.%2C+Thoothukudi%2C+Tamil+Nadu%2C+India,9.144239,78.044848,arcgis,"628902, Ettaiyapuram, Tamil Nadu",resolved
91,Thoothukudi,104,University VOC College of Engineering,Thoothukudi,"University VOC College of Engineering, Thoothukudi","University VOC College of Engineering, Thoothukudi, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+VOC+College+of+Engineering%2C+Thoothukudi%2C+Tamil+Nadu%2C+India,8.795181,78.129001,arcgis,V O C College,resolved
92,Tiruchirappalli,41,Government Polytechnic College,"Thuvakudimalai, Trichy","Government Polytechnic College, Thuvakudimalai, Trichy","Government Polytechnic College, Thuvakudimalai, Trichy, Tiruchirappalli, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Thuvakudimalai%2C+Trichy%2C+Tiruchirappalli%2C+Tamil+Nadu%2C+India,10.766497,78.803512,arcgis,Government Polytechnic College,resolved
93,Tiruchirappalli,42,Government College of Engineering,"Srirangam, Trichy - 620012","Government College of Engineering Srirangam, Trichy - 620012","Government College of Engineering Srirangam, Trichy - 620012, Tiruchirappalli, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+College+of+Engineering+Srirangam%2C+Trichy+-+620012%2C+Tiruchirappalli%2C+Tamil+Nadu%2C+India,10.7100861,78.5989012,arcgis,"620012, Srirangam, Tamil Nadu",resolved
94,Tiruchirappalli,100,Government Polytechnic College Srirangam,Trichy 620012,Government Polytechnic College Srirangam Trichy 620012,"Government Polytechnic College Srirangam Trichy 620012, Tiruchirappalli, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+Srirangam+Trichy+620012%2C+Tiruchirappalli%2C+Tamil+Nadu%2C+India,10.766497,78.803512,arcgis,Government Polytechnic College,resolved
95,Tiruchirappalli,101,University College of Engineering (BIT-,"Campus) Anna University Tiruchirappalli -, 620024)",University College of Engineering (BIT- Campus) Anna University Tiruchirappalli - 620024),"University College of Engineering (BIT- Campus) Anna University Tiruchirappalli - 620024), Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+%28BIT-+Campus%29+Anna+University+Tiruchirappalli+-+620024%29%2C+Tamil+Nadu%2C+India,10.6672503,78.7396558,arcgis,"620024, Thiruverumbur, Tamil Nadu",resolved
96,Tirunelveli,48,Government College of Engineering,Tirunelveli - 627007,"Government College of Engineering, Tirunelveli - 627007","Government College of Engineering, Tirunelveli - 627007, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+College+of+Engineering%2C+Tirunelveli+-+627007%2C+Tamil+Nadu%2C+India,8.685151,77.726601,arcgis,Government College of Engineering,resolved
97,Tirunelveli,49,Rani Anna Government College For Women,"Gandhinagar, Tirunelveli -627008","Rani Anna Government College For Women, Gandhinagar, Tirunelveli -627008","Rani Anna Government College For Women, Gandhinagar, Tirunelveli -627008, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Rani+Anna+Government+College+For+Women%2C+Gandhinagar%2C+Tirunelveli+-627008%2C+Tamil+Nadu%2C+India,8.7328,77.6588,arcgis,"627008, Gandhi Nagar, Tirunelveli, Tamil Nadu",resolved
98,Tirunelveli,95,Anna University Regional Campus-,"Tirunelveli, Trivandrum Road, Palayamkottai, Tirunelveli-627007","Anna University Regional Campus- Tirunelveli, Trivandrum Road, Palayamkottai, Tirunelveli-627007","Anna University Regional Campus- Tirunelveli, Trivandrum Road, Palayamkottai, Tirunelveli-627007, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Anna+University+Regional+Campus-+Tirunelveli%2C+Trivandrum+Road%2C+Palayamkottai%2C+Tirunelveli-627007%2C+Tamil+Nadu%2C+India,8.7115541,77.7314141,arcgis,"Trivandrum Road, Palayankottai, Rajendra Nagar, Tirunelveli, Tamil Nadu, 627007",resolved
