rank,college_code,college_name,district,composite_score,selectivity_score,academic_quality_score,branch_strength_score,institutional_quality_score,web_reputation_score,trend_score
134,1232,"A R M College of Engineering and Technology, Sattamangalam, Maraimalainagar, Chengalpattu District 603209",,50.2129,51.2787,50.6615,52.1348,41.3256,51.1943,47.5
135,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503",,50.1711,48.5772,48.7913,50.0691,62.5058,50.0,52.0833
136,4970,"Sree Sowdambika College of Engineering, Aruppukkottai Taluk, Virudhunagar District 626134",,50.1612,50.1068,49.1288,51.0997,53.7093,50.0,50.0
137,2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode, Namakkal District 637215",,50.1459,46.2266,50.2208,45.9351,78.2558,50.0,40.4167
138,1311,"K C G College of Technology(Autonomous), Karappakkam, Chennai 600096",Chennai,50.1048,47.1276,52.2094,44.5723,77.4535,52.642,15.8333
139,1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319",,50.0261,50.8253,50.112,52.8524,33.1977,50.0,67.5
140,1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",,50.0112,48.0321,47.2453,49.5164,76.1105,50.0,40.8333
141,1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062",,49.9863,47.5408,47.469,48.0051,70.5523,61.0232,41.6667
142,1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumpudur, Kancheepuram District 602105",,49.9855,52.0829,52.0512,52.1388,28.5233,50.0,50.0
143,4983,"Lord Jegannath College of Engineering and Technology, Kumarapuram, Thoppur Post, Kanyakumari District 629402",,49.9453,50.3952,49.9985,50.3651,47.0465,50.0,50.0
144,3831,"Indra Ganesan College of Engineering, Madurai Main Road, Manikandam, Tiruchirappalli District 620012",,49.91,48.1499,48.14,49.258,62.0465,55.564,50.0
145,2633,"Vidyaa Vikas College of Engineering and Technology, Varahoorampatti, Tiruchengode, Namakkal District 637 214",,49.9094,50.301,50.2723,50.5044,47.0465,48.075,50.0
146,5532,"Vaigai College of Engineering, Therkutheru, Melur Taluk, Madurai District 625122",,49.8863,51.1761,50.2854,52.202,38.7093,50.2302,50.0
147,1339,"Mahalakshmi Tech Campus No.1, Bharathiar Street Prashanthi Nagar, Chromepet ,Chennai 600044",Chengalpattu,49.853,50.2876,49.5315,51.2715,47.0465,50.0,50.0
148,3410,"Krishnasamy College of Engineering and Technology, S Kumarapuram, Cuddalore District 607109",,49.8452,52.184,52.8244,51.9164,22.3837,51.1943,50.0
149,2745,"Kathir College of Engineering, Neelambur, Avinashi Road, Coimbatore District 641062",,49.8398,49.9997,49.6532,50.2898,48.1977,43.4001,61.6667
150,4999,"Annai Vailankanni College of Engineering, Pothaiyadi Salai, Pottalkulam, Azhagappapuram, Kanyakumari District 629401",,49.7439,50.038,49.1288,51.1995,47.0465,52.1312,50.0
151,2641,"Varuvan Vadivelan Institute of Technology, Nallanahalli, Dharmapuri District 636701",,49.7249,52.672,52.6114,52.7545,19.314,50.0,50.0
152,4994,"J P College of Engineering, College Road, Ayakudy, Tenkasi Taluk, Tenkasi District 627852",,49.7142,50.9073,51.2695,51.6452,26.6047,47.9431,68.75
